lon,lat
-73.86736499999999,40.8811166
-73.987061,40.7558611
-73.90821869999999,40.8456014
-73.8821796,40.8313036
-73.9638228,40.8030139
-73.9047342,40.8553679
-73.9152938,40.7693034
-73.9274121,40.8183248
-74.11163979999999,40.6186608
-73.9557224,40.6814692
-73.8475126,40.8875027
-73.9811407,40.6897553
-73.8689784,40.8404178
-73.8648268,40.8447819
-73.94598189999999,40.8090737
-73.7950012,40.6825503
-73.8899261,40.8568015
-73.9067633,40.6689705
-74.0059728,40.7127753
-73.95120659999999,40.7240571
-73.95098349999999,40.7276685
-73.9390763,40.7995914
-73.9685283,40.6337153
-73.8958595,40.8570565
-74.11163979999999,40.6186608
-73.9317226,40.7992404
-73.95102179999999,40.8087404
-73.8947606,40.843266
-73.9841848,40.7598383
-73.8927827,40.8650522
-73.9742134,40.7959697
-73.9045235,40.86299899999999
-73.9578112,40.60867349999999
-73.8389591,40.881653
-73.9125711,40.8445687
-73.8770858,40.8342142
-73.8414469,40.8349243
-73.9768502,40.7145942
-73.943884,40.598989
-73.9463122,40.6881026
-73.90194919999999,40.8120968
-73.91761559999999,40.8326145
-73.88371529999999,40.8402864
-73.8553137,40.8093335
NA,NA
-74.0010862,40.7189232
-73.80232889999999,40.7091229
-73.7948516,40.7282239
-73.83331299999999,40.6918409
-73.98770999999999,40.750247
-73.86180019999999,40.8220816
-73.7403296,40.7153438
-73.93728949999999,40.79768019999999
-73.9623409,40.6515024
-73.9253044,40.8636489
-73.9933705,40.5750768
-73.9344666,40.84756300000001
-74.1628566,40.5465416
-73.9230884,40.6860804
-73.8861841,40.8548751
-73.93233219999999,40.8487593
-73.9031366,40.8776136
-73.89133389999999,40.8617455
-73.90652949999999,40.66914329999999
-73.99298879999999,40.7415191
-73.88770989999999,40.8118971
NA,NA
-73.8849764,40.662958
-73.9388905,40.6843032
-74.11163979999999,40.6186608
-74.1441129,40.6221486
-73.83331299999999,40.6918409
-73.9298191,40.8070585
-73.7757221,40.5956863
-73.827998,40.8445967
-73.98635589999999,40.7119145
-73.90410229999999,40.8347075
-73.8886515,40.8355045
-73.8801556,40.8739691
-73.9041871,40.6634736
-73.8864553,40.7921451
-73.99795569999999,40.5744773
-73.9557224,40.6814692
-73.8246832,40.772356
-74.11163979999999,40.6186608
-73.8635973,40.87947090000001
-73.9401604,40.6951168
-73.88158059999999,40.6713039
-73.9892235,40.6937805
NA,NA
-74.1206591,40.6066132
-73.90914939999999,40.6646897
-73.941616,40.627926
-73.94532749999999,40.7997561
-73.8637238,40.6717865
-73.90782949999999,40.678112
-73.865426,40.818416
-73.83563459999999,40.6550117
-73.9540308,40.6947234
-73.8648268,40.8447819
-73.9497937,40.8013511
-73.9113307,40.8542949
-73.9524965,40.671574
-73.9387998,40.703454
-73.912319,40.828788
-73.98586650000001,40.6961605
-73.8590801,40.6925184
-73.8353589,40.579766
-73.93740749999999,40.6783744
-73.87222679999999,40.7510771
-73.90716800000001,40.846368
-74.1469766,40.6101441
-73.91638,40.81436799999999
-73.895697,40.820139
-73.9530777,40.8258574
-73.9374976,40.6748316
-73.90353,40.813735
-74.16906759999999,40.5596069
-73.91857879999999,40.8628084
